session.p_id,session.pilot,session.complete,session.time_started,session.current_time,session.num_restarts,session.language,results.msi_agreement_order,results.MSI1,results.MSI3,results.MSI4,results.MSI7,results.MSI10,results.MSI12,results.MSI14,results.MSI15,results.MSI17,results.MSI19,results.MSI23,results.MSI24,results.MSI25,results.MSI27,results.MSI29,results.msi_other_order,results.MSI32,results.MSI33,results.MSI37,results.valence_trial_1,results.valence_trial_2,results.valence_experiment_order,results.valence_130,results.familiar_130,results.valence_23,results.familiar_23,results.valence_151,results.familiar_151,results.valence_204,results.familiar_204,results.valence_133,results.familiar_133,results.valence_87,results.familiar_87,results.valence_84,results.familiar_84,results.valence_238,results.familiar_238,results.valence_15,results.familiar_15,results.valence_145,results.familiar_145,results.valence_61,results.familiar_61,results.valence_140,results.familiar_140,results.valence_31,results.familiar_31,results.valence_195,results.familiar_195,results.valence_233,results.familiar_233,results.valence_70,results.familiar_70,results.valence_58,results.familiar_58,results.valence_119,results.familiar_119,results.valence_100,results.familiar_100,results.valence_126,results.familiar_126,results.valence_208,results.familiar_208,results.valence_95,results.familiar_95,results.valence_182,results.familiar_182,results.valence_187,results.familiar_187,results.valence_234,results.familiar_234
f0306d7062854d9b7b9c9c7424fd6e32efcef18ecd93e8d10aa7e11547ecf045,FALSE,TRUE,2020-04-12 11:51:31,2020-04-12 12:07:33,0,EN,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",MSI2,MSI2,MSI1,MSI3,MSI2,MSI2,MSI5,MSI3,MSI4,MSI3,MSI4,MSI3,MSI4,MSI5,MSI3,"[1,2,3]",MSI2,MSI1,MSI1,4,3,"[130,23,151,204,133,87,84,238,15,145,61,140,31,195,233,70,58,119,100,126,208,95,182,187,234]",130_6,130_no,23_4,23_no,151_3,151_no,204_4,204_no,133_3,133_no,87_6,87_no,84_6,84_no,238_2,238_no,15_7,15_no,145_1,145_no,61_5,61_no,140_3,140_no,31_1,31_no,195_1,195_no,233_3,233_no,70_1,70_no,58_6,58_no,119_4,119_yes,100_7,100_no,126_4,126_no,208_7,208_no,95_7,95_no,182_4,182_no,187_5,187_no,234_3,234_no
35f93b32aa09df4d85fe08a1df5e0f502214e351f2de0666ba06a4694bb3e712,FALSE,TRUE,2020-04-12 11:54:09,2020-04-12 12:09:30,2,EN,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",MSI6,MSI4,MSI3,MSI7,MSI6,MSI6,MSI4,MSI1,MSI5,MSI7,MSI5,MSI6,MSI3,MSI5,MSI7,"[1,2,3]",MSI1,MSI2,MSI2,6,2,"[170,234,52,208,48,168,84,12,99,227,173,96,32,197,65,79,19,148,93,112,228,120,150,138,180]",170_4,170_no,234_1,234_no,52_7,52_yes,208_7,208_yes,48_5,48_no,168_6,168_yes,84_5,84_no,12_2,12_yes,99_7,99_no,227_1,227_no,173_4,173_no,96_5,96_no,32_3,32_no,197_6,197_no,65_5,65_no,79_6,79_no,19_1,19_yes,148_4,148_no,93_4,93_no,112_3,112_yes,228_3,228_no,120_5,120_no,150_2,150_no,138_2,138_no,180_4,180_no
382db9fbf77dc9553c22ced7d22d3965616b0045444cf0306d7062854d9b7b9c,FALSE,TRUE,2020-04-14 20:36:15,2020-04-14 20:48:03,0,EN,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",MSI4,MSI3,MSI1,MSI4,MSI3,MSI5,MSI4,MSI6,MSI4,MSI2,MSI5,MSI2,MSI6,MSI7,MSI3,"[1,2,3]",MSI5,MSI2,MSI2,5,2,"[153,165,147,136,29,138,16,137,95,167,171,181,31,7,221,194,82,6,189,112,8,111,98,102,161]",153_4,153_no,165_4,165_no,147_3,147_no,136_2,136_no,29_1,29_no,138_3,138_no,16_5,16_no,137_3,137_no,95_6,95_no,167_4,167_no,171_3,171_no,181_2,181_no,31_2,31_no,7_1,7_no,221_1,221_no,194_4,194_no,82_5,82_no,6_5,6_no,189_3,189_no,112_4,112_no,8_7,8_no,111_7,111_no,98_6,98_no,102_2,102_no,161_5,161_no
f7c82dcffa829152700ced2014684bcd9e2e2bfa111acf5289f1e71822610b7c,FALSE,TRUE,2020-04-14 20:52:33,2020-04-14 21:08:26,1,EN,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",MSI3,MSI1,MSI5,MSI6,MSI2,MSI5,MSI7,MSI5,MSI3,MSI3,MSI5,MSI6,MSI2,MSI7,MSI5,"[1,2,3]",MSI1,MSI1,MSI1,6,3,"[58,122,67,205,91,155,99,189,45,214,90,52,34,97,39,186,130,202,171,165,13,93,19,121,206]",58_5,58_no,122_5,122_no,67_6,67_no,205_3,205_no,91_6,91_yes,155_2,155_no,99_6,99_no,189_1,189_no,45_6,45_no,214_5,214_no,90_4,90_no,52_5,52_no,34_5,34_no,97_5,97_no,39_4,39_no,186_7,186_yes,130_2,130_no,202_3,202_yes,171_2,171_no,165_5,165_no,13_2,13_no,93_7,93_yes,19_6,19_yes,121_5,121_yes,206_3,206_yes
382db9fbf77dc9553c22ced7d22d3965616b0045444cf0306d7062854d9b7b9c,FALSE,TRUE,2020-04-15 16:25:06,2020-04-15 16:37:29,0,EN,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",MSI5,MSI5,MSI1,MSI1,MSI3,MSI6,MSI7,MSI6,MSI4,MSI4,MSI7,MSI7,MSI7,MSI7,MSI4,"[1,2,3]",MSI1,MSI1,MSI1,7,3,"[75,183,18,240,39,163,98,205,218,189,90,92,232,123,118,231,17,182,34,159,230,4,195,128,99]",75_3,75_no,183_2,183_no,18_7,18_no,240_2,240_yes,39_5,39_no,163_2,163_no,98_6,98_no,205_3,205_no,218_3,218_no,189_2,189_no,90_6,90_no,92_5,92_yes,232_2,232_no,123_3,123_no,118_6,118_no,231_5,231_no,17_3,17_no,182_5,182_no,34_4,34_no,159_2,159_no,230_2,230_no,4_2,4_no,195_3,195_no,128_6,128_no,99_7,99_no
382db9fbf77dc9553c22ced7d22d3965616b0045444cf0306d7062854d9b7b9c,FALSE,TRUE,2020-04-15 17:18:16,2020-04-15 17:32:04,0,EN,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",MSI7,MSI5,MSI2,MSI3,MSI4,MSI7,MSI5,MSI7,MSI3,MSI7,MSI2,MSI7,MSI3,MSI6,MSI3,"[1,2,3]",MSI5,MSI4,MSI3,6,2,"[53,105,26,134,40,25,146,33,188,69,129,238,14,109,24,206,4,81,31,186,125,193,144,152,235]",53_4,53_no,105_2,105_no,26_6,26_no,134_5,134_no,40_6,40_no,25_7,25_no,146_6,146_no,33_7,33_no,188_4,188_no,69_3,69_no,129_2,129_yes,238_1,238_no,14_3,14_no,109_2,109_yes,24_5,24_no,206_6,206_no,4_5,4_no,81_5,81_no,31_3,31_no,186_6,186_yes,125_7,125_yes,193_7,193_no,144_5,144_no,152_5,152_no,235_6,235_no
52bf73e778e18fb53cfe2468e085dd03a79f70de0b929613ea1efd69a38b3c4d,FALSE,TRUE,2020-04-15 17:25:16,2020-04-15 17:42:40,0,EN,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",MSI4,MSI1,MSI3,MSI5,MSI3,MSI4,MSI3,MSI2,MSI4,MSI3,MSI3,MSI4,MSI4,MSI6,MSI3,"[1,2,3]",MSI1,MSI1,MSI1,6,4,"[7,136,53,35,228,126,200,178,192,103,174,159,91,163,229,180,198,182,168,72,74,129,239,6,8]",7_2,7_no,136_6,136_no,53_3,53_no,35_3,35_no,228_2,228_no,126_2,126_no,200_3,200_no,178_1,178_no,192_7,192_no,103_2,103_no,174_4,174_no,159_2,159_no,91_7,91_no,163_2,163_no,229_4,229_no,180_5,180_no,198_2,198_no,182_3,182_no,168_2,168_no,72_7,72_no,74_7,74_no,129_5,129_no,239_5,239_no,6_3,6_no,8_7,8_no
c2d4f2799a163fec6528286618e84401d971a22612c4215d1ef320b54b9cb8ee,FALSE,TRUE,2020-04-15 17:29:41,2020-04-15 17:46:47,0,EN,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",MSI7,MSI3,MSI5,MSI6,MSI6,MSI5,MSI2,MSI7,MSI1,MSI5,MSI2,MSI7,MSI3,MSI3,MSI5,"[1,2,3]",MSI6,MSI6,MSI3,6,6,"[144,86,93,100,207,196,160,67,131,148,224,149,232,180,203,80,124,52,167,215,45,40,39,92,28]",144_2,144_no,86_5,86_no,93_6,93_no,100_4,100_no,207_3,207_no,196_6,196_no,160_3,160_no,67_6,67_no,131_3,131_no,148_2,148_no,224_3,224_no,149_5,149_no,232_4,232_no,180_5,180_no,203_5,203_yes,80_4,80_no,124_3,124_no,52_6,52_no,167_1,167_no,215_1,215_no,45_5,45_no,40_6,40_no,39_6,39_yes,92_5,92_no,28_6,28_yes
700ced2014684bcd9e2e2bfa111acf5289f1e71822610b7c79629f06cfecd68b,FALSE,TRUE,2020-04-15 18:02:26,2020-04-15 18:18:21,0,EN,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",MSI5,MSI2,MSI2,MSI2,MSI2,MSI5,MSI5,MSI3,MSI5,MSI4,MSI3,MSI5,MSI6,MSI6,MSI2,"[1,2,3]",MSI4,MSI4,MSI1,6,6,"[209,37,155,195,221,183,65,217,70,78,141,18,169,76,134,101,184,240,177,41,193,224,9,106,64]",209_1,209_no,37_3,37_yes,155_3,155_no,195_1,195_no,221_5,221_no,183_2,183_no,65_6,65_no,217_2,217_no,70_5,70_no,78_6,78_no,141_4,141_no,18_7,18_no,169_4,169_no,76_3,76_no,134_5,134_no,101_2,101_no,184_5,184_no,240_7,240_no,177_6,177_no,41_7,41_no,193_6,193_yes,224_2,224_no,9_6,9_no,106_6,106_yes,64_6,64_yes
682172c518437c7310a2f7ce767860fb5fa530fb70722782beee9386e00cb515,FALSE,TRUE,2020-04-15 18:08:49,2020-04-15 18:21:57,0,EN,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",MSI6,MSI5,MSI6,MSI7,MSI3,MSI6,MSI3,MSI5,MSI4,MSI6,MSI3,MSI7,MSI6,MSI3,MSI6,"[1,2,3]",MSI3,MSI5,MSI2,6,3,"[217,216,225,40,88,32,133,206,205,67,146,23,175,36,128,228,152,118,37,203,182,160,117,177,196]",217_4,217_no,216_4,216_no,225_1,225_no,40_6,40_no,88_5,88_no,32_6,32_no,133_3,133_no,206_2,206_no,205_2,205_no,67_6,67_no,146_5,146_no,23_7,23_no,175_6,175_no,36_5,36_no,128_5,128_no,228_1,228_no,152_1,152_no,118_6,118_no,37_5,37_no,203_3,203_no,182_3,182_no,160_2,160_no,117_5,117_no,177_7,177_no,196_6,196_no
79629f06cfecd68b8c5b781471b26ebf936435f93b32aa09df4d85fe08a1df5e,FALSE,TRUE,2020-04-15 18:53:31,2020-04-15 19:06:53,1,EN,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",MSI1,MSI1,MSI1,MSI5,MSI3,MSI5,MSI7,MSI3,MSI3,MSI2,MSI6,MSI2,MSI6,MSI7,MSI5,"[1,2,3]",MSI1,MSI1,MSI1,6,3,"[173,65,111,59,203,91,143,221,172,123,154,171,178,216,80,66,61,88,49,179,213,155,48,14,183]",173_5,173_no,65_6,65_no,111_7,111_yes,59_3,59_no,203_5,203_no,91_5,91_no,143_6,143_no,221_2,221_no,172_6,172_no,123_2,123_no,154_6,154_no,171_3,171_no,178_3,178_no,216_5,216_no,80_5,80_no,66_1,66_no,61_5,61_no,88_6,88_no,49_7,49_yes,179_3,179_no,213_5,213_no,155_5,155_no,48_6,48_no,14_6,14_no,183_3,183_no
382db9fbf77dc9553c22ced7d22d3965616b0045444cf0306d7062854d9b7b9c,FALSE,TRUE,2020-04-15 19:49:05,2020-04-15 20:03:21,0,EN,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",MSI5,MSI1,MSI1,MSI5,MSI3,MSI3,MSI5,MSI4,MSI2,MSI3,MSI5,MSI5,MSI3,MSI6,MSI6,"[1,2,3]",MSI3,MSI2,MSI1,7,2,"[39,92,28,30,29,230,45,168,204,162,226,2,25,213,164,123,165,88,58,109,228,76,114,196,125]",39_5,39_no,92_5,92_yes,28_5,28_no,30_5,30_no,29_4,29_no,230_3,230_no,45_6,45_no,168_2,168_no,204_4,204_no,162_2,162_no,226_4,226_no,2_4,2_no,25_5,25_no,213_4,213_no,164_5,164_no,123_4,123_no,165_4,165_no,88_6,88_no,58_5,58_no,109_4,109_no,228_1,228_no,76_4,76_no,114_6,114_yes,196_5,196_no,125_4,125_no
535e7e38f905af90e131c8eeed2b8ba21eb6e008484c07d65a8300c836d8dec4,FALSE,TRUE,2020-04-15 19:59:23,2020-04-15 20:11:00,0,EN,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",MSI2,MSI2,MSI1,MSI6,MSI3,MSI5,MSI7,MSI5,MSI4,MSI6,MSI3,MSI5,MSI3,MSI6,MSI5,"[1,2,3]",MSI1,MSI2,MSI1,5,2,"[183,157,11,97,32,40,223,25,197,140,24,6,225,45,209,109,2,232,38,217,116,56,176,78,206]",183_2,183_no,157_3,157_no,11_6,11_no,97_6,97_no,32_4,32_no,40_3,40_no,223_1,223_no,25_2,25_no,197_7,197_no,140_5,140_no,24_1,24_no,6_4,6_no,225_1,225_no,45_6,45_no,209_4,209_no,109_1,109_no,2_2,2_no,232_1,232_no,38_1,38_no,217_5,217_no,116_3,116_yes,56_6,56_no,176_2,176_no,78_4,78_no,206_3,206_no
728173492b7f13385c62c5da88b27143587b301c2d435a275026935c239d960a,FALSE,TRUE,2020-04-15 19:58:24,2020-04-15 20:11:45,0,EN,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",MSI2,MSI2,MSI2,MSI5,MSI1,MSI1,MSI7,MSI2,MSI6,MSI2,MSI7,MSI3,MSI4,MSI7,MSI5,"[1,2,3]",MSI1,MSI1,MSI1,5,2,"[196,102,142,65,40,184,116,131,207,132,4,33,163,7,29,105,222,41,128,9,185,32,223,49,124]",196_5,196_no,102_2,102_no,142_4,142_no,65_7,65_no,40_6,40_no,184_5,184_no,116_1,116_yes,131_3,131_no,207_6,207_no,132_4,132_no,4_5,4_no,33_7,33_no,163_1,163_no,7_4,7_no,29_3,29_no,105_2,105_no,222_2,222_no,41_6,41_yes,128_4,128_no,9_6,9_no,185_6,185_no,32_3,32_no,223_1,223_no,49_6,49_yes,124_2,124_no
64cf5a800ea8834ab05c62972f5d527e7f63d284dd74c062c70315bc696e77de,FALSE,TRUE,2020-04-15 20:06:55,2020-04-15 20:22:09,0,EN,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",MSI5,MSI4,MSI3,MSI5,MSI5,MSI4,MSI3,MSI4,MSI5,MSI3,MSI5,MSI6,MSI4,MSI3,MSI3,"[1,2,3]",MSI5,MSI2,MSI2,6,2,"[191,217,111,89,20,60,57,189,27,236,11,96,45,223,165,155,107,52,40,202,67,214,187,162,65]",191_3,191_no,217_4,217_no,111_6,111_yes,89_6,89_no,20_3,20_no,60_4,60_no,57_7,57_no,189_1,189_no,27_5,27_no,236_2,236_no,11_5,11_no,96_7,96_no,45_2,45_no,223_1,223_no,165_6,165_no,155_2,155_no,107_6,107_yes,52_5,52_no,40_4,40_no,202_2,202_no,67_5,67_no,214_3,214_no,187_6,187_no,162_2,162_no,65_6,65_no
7200f393b4bbacebc81bfc77175e27c840b79f0e28ae0796796cd9b562baccba,FALSE,TRUE,2020-04-15 20:11:16,2020-04-15 20:31:54,0,EN,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",MSI7,MSI5,MSI5,MSI7,MSI5,MSI6,MSI2,MSI7,MSI4,MSI6,MSI3,MSI7,MSI5,MSI3,MSI5,"[1,2,3]",MSI5,MSI5,MSI2,6,3,"[8,76,11,7,10,181,30,141,46,95,186,35,31,38,139,223,51,1,179,28,221,150,104,90,53]",8_6,8_no,76_4,76_no,11_6,11_no,7_3,7_no,10_4,10_no,181_5,181_no,30_4,30_no,141_3,141_no,46_7,46_yes,95_6,95_no,186_6,186_no,35_3,35_no,31_1,31_no,38_3,38_no,139_4,139_no,223_1,223_no,51_3,51_no,1_5,1_no,179_4,179_no,28_3,28_no,221_3,221_no,150_6,150_no,104_5,104_no,90_6,90_no,53_7,53_yes
382db9fbf77dc9553c22ced7d22d3965616b0045444cf0306d7062854d9b7b9c,FALSE,TRUE,2020-04-16 06:49:52,2020-04-16 07:06:07,0,EN,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",MSI6,MSI1,MSI4,MSI4,MSI1,MSI5,MSI7,MSI6,MSI5,MSI3,MSI7,MSI7,MSI6,MSI7,MSI2,"[1,2,3]",MSI1,MSI1,MSI1,7,3,"[205,231,42,139,19,62,216,142,36,215,71,77,98,132,154,172,39,198,140,209,16,163,204,220,189]",205_5,205_no,231_1,231_no,42_5,42_no,139_4,139_no,19_5,19_yes,62_3,62_no,216_5,216_no,142_2,142_no,36_6,36_no,215_4,215_no,71_5,71_no,77_3,77_no,98_7,98_yes,132_6,132_no,154_4,154_no,172_2,172_no,39_6,39_yes,198_5,198_no,140_3,140_no,209_3,209_no,16_6,16_no,163_1,163_no,204_7,204_no,220_6,220_no,189_3,189_no
a7d4302e78175afa029d8883b423382db9fbf77dc9553c22ced7d22d3965616b,FALSE,TRUE,2020-04-16 13:58:03,2020-04-16 14:09:35,0,EN,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",MSI7,MSI3,MSI6,MSI7,MSI7,MSI7,MSI1,MSI5,MSI3,MSI5,MSI1,MSI7,MSI1,MSI1,MSI6,"[1,2,3]",MSI6,MSI5,MSI3,6,3,"[114,217,98,94,116,171,238,131,195,90,104,89,227,52,119,66,121,48,33,183,63,65,134,17,158]",114_2,114_yes,217_3,217_no,98_7,98_yes,94_4,94_no,116_4,116_yes,171_2,171_no,238_4,238_no,131_4,131_no,195_2,195_no,90_6,90_no,104_5,104_yes,89_6,89_no,227_4,227_no,52_6,52_no,119_4,119_yes,66_3,66_no,121_5,121_yes,48_6,48_no,33_5,33_no,183_1,183_no,63_3,63_no,65_7,65_no,134_3,134_no,17_1,17_no,158_5,158_no
e8d10aa7e11547ecf045eaa56c5e5d975031dd41f7c82dcffa829152700ced20,FALSE,TRUE,2020-04-16 13:58:47,2020-04-16 14:11:23,1,EN,"[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]",MSI7,MSI4,MSI5,MSI7,MSI4,MSI6,MSI1,MSI7,MSI4,MSI6,MSI4,MSI7,MSI3,MSI1,MSI5,"[1,2,3]",MSI7,MSI6,MSI2,6,1,"[219,149,228,217,222,155,161,189,208,80,173,131,100,98,96,108,235,239,48,55,163,13,231,125,137]",219_5,219_no,149_6,149_no,228_1,228_no,217_3,217_no,222_3,222_no,155_5,155_no,161_6,161_no,189_1,189_no,208_7,208_no,80_6,80_no,173_5,173_no,131_4,131_no,100_5,100_no,98_6,98_yes,96_7,96_yes,108_1,108_no,235_1,235_no,239_3,239_no,48_5,48_no,55_7,55_yes,163_1,163_no,13_4,13_no,231_1,231_yes,125_6,125_no,137_4,137_no
